ENSMUST00000195037	IGHV8-2
ENSMUST00000195325	IGHV1-2
ENSMUST00000103492	IGHV10-1
ENSMUST00000199437	IGKV4-54
ENSMUST00000177697	IGKV4-54
ENSMUST00000198328	IGKV4-53
ENSMUST00000166380	IGKV4-53
ENSMUST00000103345	IGKV4-51
ENSMUST00000200307	IGKV9-119
ENSMUST00000193145	IGHV8-6
ENSMUST00000103524	IGHV8-6
ENSMUST00000103525	IGHV1-54
ENSMUST00000198287	IGKV14-118-2
ENSMUST00000198645	IGKV14-118-1
ENSMUST00000199448	IGKV11-118
ENSMUST00000103317	IGKV1-117
ENSMUST00000103526	IGHV1-55
ENSMUST00000194071	IGHV1-56
ENSMUST00000103527	IGHV1-56
ENSMUST00000194349	IGHV8-7
ENSMUST00000194898	IGHV1-57
ENSMUST00000199327	IGKV2-116
ENSMUST00000198714	IGKV1-115
ENSMUST00000200013	IGKV11-114
ENSMUST00000196138	IGKV2-113
ENSMUST00000192591	IGHV8-8
ENSMUST00000103318	IGKV2-112
ENSMUST00000103319	IGKV2-112
ENSMUST00000103320	IGKV14-111
ENSMUST00000103529	IGHV1-58
ENSMUST00000195359	IGHV1-59
ENSMUST00000103530	IGHV1-59
ENSMUST00000195816	IGHV1-60
ENSMUST00000103531	IGHV1-61
ENSMUST00000193406	IGHV1-62
ENSMUST00000103321	IGKV1-110
ENSMUST00000103322	IGKV2-109
ENSMUST00000103503	IGHV1-62-1
ENSMUST00000171270	IGHV1-62-1
ENSMUST00000194581	IGHV1-62-2
ENSMUST00000163467	IGHV1-62-2
ENSMUST00000103532	IGHV1-62-3
ENSMUST00000197803	IGHV8-9
ENSMUST00000103533	IGHV8-9
ENSMUST00000198926	IGKV1-108
ENSMUST00000196000	IGKV2-107
ENSMUST00000103331	IGKV11-106
ENSMUST00000196931	IGKV2-105
ENSMUST00000103534	IGHV1-63
ENSMUST00000103323	IGKV16-104
ENSMUST00000103535	IGHV1-64
ENSMUST00000199579	IGHV8-10
ENSMUST00000103324	IGKV15-103
ENSMUST00000198790	IGHV1-65
ENSMUST00000103536	IGHV8-11
ENSMUST00000197885	IGKV15-102
ENSMUST00000103537	IGHV1-66
ENSMUST00000198646	IGHV1-67
ENSMUST00000103538	IGHV1-67
ENSMUST00000198789	IGHV1-68
ENSMUST00000200406	IGKV20-101-2
ENSMUST00000199933	IGHV1-69
ENSMUST00000103539	IGHV1-69
ENSMUST00000196661	IGKV15-101-1
ENSMUST00000195917	IGKV15-101
ENSMUST00000199510	IGKV14-100
ENSMUST00000103325	IGKV14-100
ENSMUST00000168090	IGKV1-99
ENSMUST00000103326	IGKV1-99
ENSMUST00000196839	IGKV12-98
ENSMUST00000103327	IGKV12-98
ENSMUST00000199266	IGHV8-12
ENSMUST00000103540	IGHV8-12
ENSMUST00000196509	IGHV1-70
ENSMUST00000196690	IGHV1-71
ENSMUST00000166645	IGHV1-71
ENSMUST00000103541	IGHV1-72
ENSMUST00000197637	IGKV15-97
ENSMUST00000103328	IGKV10-96
ENSMUST00000166362	IGKV2-95-2
ENSMUST00000200279	IGKV2-95-1
ENSMUST00000198735	IGKV10-95
ENSMUST00000103329	IGKV10-95
ENSMUST00000103330	IGKV10-94
ENSMUST00000196774	IGKV2-93-1
ENSMUST00000164041	IGHV8-13
ENSMUST00000103542	IGHV8-13
ENSMUST00000197435	IGHV1-73
ENSMUST00000196863	IGKV19-93
ENSMUST00000183936	IGKV19-93
ENSMUST00000196587	IGHV1-74
ENSMUST00000103543	IGHV1-74
ENSMUST00000196781	IGHV8-14
ENSMUST00000103544	IGHV1-75
ENSMUST00000197770	IGHV8-15
ENSMUST00000197537	IGHV1-76
ENSMUST00000169155	IGHV1-76
ENSMUST00000199258	IGHV8-16
ENSMUST00000198777	IGHV1-77
ENSMUST00000170551	IGHV1-77
ENSMUST00000199373	IGHV1-78
ENSMUST00000163670	IGHV1-78
ENSMUST00000200152	IGHV1-79
ENSMUST00000103547	IGHV1-80
ENSMUST00000200211	IGLJ3
ENSMUST00000103746	IGLV1
ENSMUST00000200074	IGLJ3P
ENSMUST00000200235	IGLC3
ENSMUST00000199490	IGLJ1
ENSMUST00000200568	IGLC1
ENSMUST00000103548	IGHV1-81
ENSMUST00000196991	IGHV1-82
ENSMUST00000103549	IGHV1-82
ENSMUST00000199643	IGHV1-83
ENSMUST00000103551	IGHV1-84
ENSMUST00000103552	IGHV1-85
ENSMUST00000200562	IGHV1-86
ENSMUST00000197046	IGLC4
ENSMUST00000198313	IGLJ4
ENSMUST00000198182	IGLC2
ENSMUST00000103749	IGLC2
ENSMUST00000197969	IGLJ2
ENSMUST00000103751	IGLV3
ENSMUST00000197518	IGLV2
ENSMUST00000103752	IGLV2
ENSMUST00000103332	IGKV4-92
ENSMUST00000103333	IGKV4-91
ENSMUST00000103334	IGKV4-90
ENSMUST00000199143	IGKV12-89
ENSMUST00000103335	IGKV12-89
ENSMUST00000103336	IGKV1-88
ENSMUST00000114214	IGKV13-87
ENSMUST00000200454	IGKV4-86
ENSMUST00000103337	IGKV4-86
ENSMUST00000114212	IGKV13-85
ENSMUST00000103339	IGKV13-84
ENSMUST00000196933	IGKV4-83
ENSMUST00000200308	IGKV13-82
ENSMUST00000197966	IGKV4-81
ENSMUST00000103340	IGKV4-81
ENSMUST00000197926	IGKV13-80-1
ENSMUST00000103341	IGKV4-80
ENSMUST00000103342	IGKV4-79
ENSMUST00000199298	IGKV13-78-1
ENSMUST00000103343	IGKV4-78
ENSMUST00000199410	IGKV4-77
ENSMUST00000197621	IGKV13-76
ENSMUST00000197204	IGKV4-75
ENSMUST00000200611	IGKV13-74-1
ENSMUST00000103344	IGKV4-74
ENSMUST00000196767	IGKV13-73-1
ENSMUST00000199760	IGKV4-73
ENSMUST00000103346	IGKV4-72
ENSMUST00000199934	IGKV13-71-1
ENSMUST00000196201	IGKV4-71
ENSMUST00000101325	IGKV4-71
ENSMUST00000103348	IGKV4-70
ENSMUST00000103349	IGKV4-69
ENSMUST00000103350	IGKV4-68
ENSMUST00000197806	IGKV12-67
ENSMUST00000199305	IGKV12-66
ENSMUST00000196986	IGKV4-65
ENSMUST00000198143	IGKV13-64
ENSMUST00000196595	IGKV4-63
ENSMUST00000103351	IGKV4-63
ENSMUST00000198690	IGKV13-62-1
ENSMUST00000198345	IGKV4-62
ENSMUST00000177795	IGKV4-62
ENSMUST00000198255	IGKV13-61-1
ENSMUST00000199160	IGKV4-61
